,Dim_DogParks_key,Name,State,Longitude,Latitude
0,1,"Dog Park, City Beach",Western Australia,115.7629868,-31.9112321
1,2,"West Torrens Dog Park, Kurralta Park",South Australia,138.563865,-34.947992
2,3,"Golden Grove Dog Park, Industry Park",South Australia,138.7122061,-34.7865357
3,4,"Hannaford Reserve Dog's Park, St Peters",South Australia,138.6234824,-34.9022482
4,5,"Ashley Avenue Dog Park, Milne Road",South Australia,138.6984745,-34.8175163
5,6,"Pityarilla Dog Park, Glen Osmond Road",South Australia,138.60803,-34.9364255
6,7,"Conyngham Street Dog Park, Conyngham Street",South Australia,138.6334226,-34.9448041
7,8,"Stebonheath Dog Park, Davoren Road",South Australia,138.6610232,-34.6756903
8,9,"L.J. Lewis Reserve Dog Park, Stirling Street",South Australia,138.6242828,-34.8451273
9,10,"CC Hood Dog Park, Lawn Street",South Australia,138.5964786,-34.9991981
10,11,"Kingswood Crescent Reserve Dog Park, Bolivar Road",South Australia,138.6080917,-34.7473504
11,12,"Bentley Reserve Dog Park, Gentilly Street",South Australia,138.6702481,-34.8530901
12,13,"West Torrens Dog Park, Westside Bike Path",South Australia,138.5639576,-34.9479375
13,14,"Hastings Cunningham Reserve Dog Park, Shepherdson Road",South Australia,140.7622364,-37.8288553
14,15,"Wright Road Dog Park, Wright Road",South Australia,138.7266024,-34.9958763
15,16,"Wright Road Dog Park Car Park, Wright Road",South Australia,138.7256727,-34.9954951
16,17,"Doswell Terrace Dog Park, Doswell Terrace",South Australia,137.7244816,-33.9578929
17,18,"Tailem Dog Park, Railway Terrace",South Australia,139.4527024,-35.2517462
18,19,"Barka Park, Zanker Drive",South Australia,138.8511964,-35.0858499
